ubicacion,codigo_ine,Comunidad Autónoma,Provincia,%_casas_vacias,Viviendas totales,Mediana consumo anual,Viviendas con bajo consumo,Viviendas de uso esporádico,prev_res_misma_vivienda,prev_res_mismo_municipio,prev_res_misma_provincia,prev_res_misma_comunidad,prev_res_dif_comunidad,prev_res_en_extranjero,prev_res_no_nacido,Poblacion,Poblacion_-16,Poblacion_16-64,Poblacion_+65,Hombres,Hombres_-16,Hombres_16-64,Hombres_+65,Mujeres,Mujeres_-16,Mujeres_16-64,Mujeres_+65,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior,SUPERFICIE,PERIMETRO,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD
    08298 Vic,8298,Cataluña,Barcelona,4.224642064932446,19836,2179,375,1220,12683,15594,5362,1015,1472,5847,5206,47179,8591,31249,7339,23903,4478,16433,2992,23276,4113,14816,4347,2218,106,390,548,66,425,683,29,425,102,1419,243,3079.4448,48655,2.25573569,41.92838354,485.0
    08300 Viladecavalls,8300,Cataluña,Barcelona,6.84423465947404,2966,3158,42,139,2799,2318,1546,75,66,106,713,7623,1292,5146,1185,3795,659,2564,572,3828,633,2582,613,293,11,36,78,8,46,114,0,45,26,207,15,2007.7561,21414,1.95511589,41.55777957,275.0
    08301 Viladecans,8301,Cataluña,Barcelona,5.758669976679456,26586,2343,340,1149,23870,24250,7386,739,1408,2704,6453,66810,11621,43951,11238,32989,5972,22106,4911,33821,5649,21845,6327,2813,110,351,683,89,497,1083,11,313,208,2094,187,2036.3,23797,2.01824715,41.31732529,18.0
    08302 Vilanova del Camí,8302,Cataluña,Barcelona,5.319348192545421,5339,2444,139,331,4228,4630,1859,120,230,369,1303,12739,2305,8322,2112,6388,1170,4269,949,6351,1135,4053,1163,784,34,95,157,24,165,309,8,145,50,496,85,1048.44,23737,1.63933412,41.57161802,304.0
    08304 Vilobí del Penedès,8304,Cataluña,Barcelona,19.51219512195122,492,3591,2,17,501,262,205,20,17,13,111,1129,203,687,239,584,111,360,113,545,92,327,126,31,5,0,9,0,7,13,3,4,4,19,2,939.92,15807,1.6620982,41.38941699,277.0
    08305 Vilafranca del Penedès,8305,Cataluña,Barcelona,6.471747700394218,18264,2326,326,1023,12425,14621,5117,839,694,2087,4197,39980,7193,25591,7196,19452,3707,12716,3029,20528,3486,12875,4167,1803,74,244,425,58,377,625,65,228,122,1257,131,1991.81,27444,1.698030084,41.34650425,240.0
    08307 Vilanova i la Geltrú,8307,Cataluña,Barcelona,7.030613783743026,33155,2297,775,2630,21183,26050,7940,1519,1524,3363,5790,67369,10243,43833,13293,32615,5245,21665,5705,34754,4998,22168,7588,3589,98,439,953,82,665,1352,37,292,308,2682,270,3386.5091,30486,1.7238399,41.22721991,25.0
    08902 Vilanova del Vallès,8902,Cataluña,Barcelona,6.851119894598155,2277,3276,19,101,2322,1168,1198,45,97,140,598,5568,1149,3720,699,2807,606,1869,332,2761,543,1851,367,161,5,14,51,2,22,68,4,24,16,116,1,1552.2239,19421,2.28794144,41.55437637,89.0
    08904 Badia del Vallès,8904,Cataluña,Barcelona,6.847806131815679,5447,2122,57,249,4212,5621,1570,127,249,317,1183,13279,2080,8356,2843,6509,1058,4282,1169,6770,1022,4074,1674,901,42,124,215,44,183,293,6,111,77,608,99,93.21,5921,2.1146554,41.50774059,117.0
    17006 Alp,17006,Cataluña,Girona,19.163253364540665,3418,1251,232,754,451,511,95,343,82,69,102,1653,209,1191,253,852,113,619,120,801,96,572,133,38,0,10,7,5,7,13,1,0,4,33,5,4424.88,40787,1.88550982,42.37253273,1161.0
